_id,desc_distrito_local,desc_barrio_local,Nombre,desc_situacion_terraza,desc_ubicacion_terraza
1915,USERA               ,ORCASITAS           ,LA PE?A SORIANA CERVECERIA,Abierta,Plaza peatonal
1916,CARABANCHEL         ,SAN ISIDRO          ,HELADOS ITALIANOS TOZZI,Abierta,Acera
1917,CENTRO              ,SOL                 ,SIN ESPECIFICAR,Abierta,Acera
1919,CENTRO              ,SOL                 ,CAFETERIA DIXEI BAR,Abierta,Calle peatonal
1921,CHAMARTIN           ,PROSPERIDAD         ,GF CRIADO MARISQUERIA,Abierta,Acera
1923,CENTRO              ,SOL                 ,SHISHA,Abierta,Acera
1925,CENTRO              ,SOL                 ,CORNUCOPIA,Abierta,Calle peatonal
1927,RETIRO              ,NI?O JESUS          ,COEUR D?AMANDE,Abierta,Acera
1928,RETIRO              ,PACIFICO            ,DEPORTES PERISO,Abierta,Acera
1931,CENTRO              ,JUSTICIA            ,MUESTRA,Abierta,Plaza con bandas permanentes de circulaci? rodada
1934,CENTRO              ,CORTES              ,HOTEL MELIA,Abierta,Plaza peatonal
1935,CENTRO              ,SOL                 ,100 MONTADITOS,Abierta,Calle peatonal
1936,CENTRO              ,PALACIO             ,LA LONJA,Abierta,Plaza peatonal
1937,CENTRO              ,UNIVERSIDAD         ,EL BUDA FELIZ,Abierta,Calle peatonal
1938,CENTRO              ,SOL                 ,CASA VALI?O,Abierta,Calle peatonal
1939,CENTRO              ,EMBAJADORES         ,BOABAD RESTAURANTE,Abierta,Plaza peatonal
1940,CENTRO              ,PALACIO             ,NEMRUT KEBAB PIZZA,Abierta,Acera
1942,CENTRO              ,SOL                 ,100 MONTADITOS,Abierta,Calle peatonal
1943,CENTRO              ,SOL                 ,RESTAURANTE TINEO,Abierta,Calle peatonal
